legacy_url,legacy_id,tip,yeni_url,eylem,not
/dunyanin-gizli-kalmis-harikalari.html?amp=1,6826,post-amp,/dunyanin-gizli-kalmis-harikalari.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/dunyanin-gizli-kalmis-harikalari.html/amp,6826,post-amp,/dunyanin-gizli-kalmis-harikalari.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/enscape-render-best-exterior-rendering.html,6822,post,/enscape-render-best-exterior-rendering.html,keep,"kategori=1173,538; tarih=2024-09-03"
/enscape-render-best-exterior-rendering.html?amp=1,6822,post-amp,/enscape-render-best-exterior-rendering.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/enscape-render-best-exterior-rendering.html/amp,6822,post-amp,/enscape-render-best-exterior-rendering.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/sketchup-modeling-3dsmax-corona-render.html,6819,post,/sketchup-modeling-3dsmax-corona-render.html,keep,"kategori=542,538; tarih=2024-08-29"
/sketchup-modeling-3dsmax-corona-render.html?amp=1,6819,post-amp,/sketchup-modeling-3dsmax-corona-render.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/sketchup-modeling-3dsmax-corona-render.html/amp,6819,post-amp,/sketchup-modeling-3dsmax-corona-render.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/best-enscape-render-4-0-exterior-tutorial.html,6814,post,/best-enscape-render-4-0-exterior-tutorial.html,keep,"kategori=1173,538; tarih=2024-08-28"
/best-enscape-render-4-0-exterior-tutorial.html?amp=1,6814,post-amp,/best-enscape-render-4-0-exterior-tutorial.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/best-enscape-render-4-0-exterior-tutorial.html/amp,6814,post-amp,/best-enscape-render-4-0-exterior-tutorial.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/twinmotion-2024-best-exterior-tutorial.html,6810,post,/twinmotion-2024-best-exterior-tutorial.html,keep,"kategori=538,1167; tarih=2024-08-27"
/twinmotion-2024-best-exterior-tutorial.html?amp=1,6810,post-amp,/twinmotion-2024-best-exterior-tutorial.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/twinmotion-2024-best-exterior-tutorial.html/amp,6810,post-amp,/twinmotion-2024-best-exterior-tutorial.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/sketchup-vray-6-realistic-interior-rendering.html,6807,post,/sketchup-vray-6-realistic-interior-rendering.html,keep,"kategori=1169,538,1172,541; tarih=2024-08-27"
/sketchup-vray-6-realistic-interior-rendering.html?amp=1,6807,post-amp,/sketchup-vray-6-realistic-interior-rendering.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/sketchup-vray-6-realistic-interior-rendering.html/amp,6807,post-amp,/sketchup-vray-6-realistic-interior-rendering.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/create-realistic-interior-in-d5-render.html,6803,post,/create-realistic-interior-in-d5-render.html,keep,"kategori=1168,538; tarih=2024-08-27"
/create-realistic-interior-in-d5-render.html?amp=1,6803,post-amp,/create-realistic-interior-in-d5-render.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/create-realistic-interior-in-d5-render.html/amp,6803,post-amp,/create-realistic-interior-in-d5-render.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/d5-render-2-8-exterior-best-rendering.html,6800,post,/d5-render-2-8-exterior-best-rendering.html,keep,"kategori=1168,538; tarih=2024-08-25"
/d5-render-2-8-exterior-best-rendering.html?amp=1,6800,post-amp,/d5-render-2-8-exterior-best-rendering.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/d5-render-2-8-exterior-best-rendering.html/amp,6800,post-amp,/d5-render-2-8-exterior-best-rendering.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/benim-gibi-profesyonel-olmak-icin-izle.html,6795,post,/benim-gibi-profesyonel-olmak-icin-izle.html,keep,kategori=1177; tarih=2024-08-24
/benim-gibi-profesyonel-olmak-icin-izle.html?amp=1,6795,post-amp,/benim-gibi-profesyonel-olmak-icin-izle.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
